employee_id,store_id,salary,start_date,end_date,is_current
68,26,48006,2025-02-10,9999-12-31,True
69,61,44317,2025-04-30,9999-12-31,True
70,93,52972,2025-02-21,9999-12-31,True
71,74,20046,2025-07-14,9999-12-31,True
72,50,38042,2025-05-23,9999-12-31,True
73,72,58869,2025-08-21,9999-12-31,True
74,77,61651,2025-11-22,9999-12-31,True
75,49,61631,2025-07-06,9999-12-31,True
76,41,71382,2025-03-25,9999-12-31,True
77,3,20329,2025-07-09,9999-12-31,True
78,12,32484,2025-07-01,9999-12-31,True
79,74,66965,2025-04-18,9999-12-31,True
80,27,20078,2025-12-10,9999-12-31,True
81,70,55175,2025-05-17,9999-12-31,True
82,57,24587,2025-12-26,9999-12-31,True
83,78,61213,2025-12-16,9999-12-31,True
84,90,33931,2025-11-28,9999-12-31,True
85,42,29032,2025-02-06,9999-12-31,True
86,56,60560,2025-11-08,9999-12-31,True
87,86,70147,2025-11-22,9999-12-31,True
88,17,42298,2025-03-29,9999-12-31,True
89,71,59446,2025-10-01,9999-12-31,True
90,52,54101,2025-05-06,9999-12-31,True
91,40,35914,2025-03-25,9999-12-31,True
92,58,57885,2025-08-25,9999-12-31,True
93,42,62192,2025-07-14,9999-12-31,True
94,25,74951,2025-05-19,9999-12-31,True
95,61,63269,2025-11-24,9999-12-31,True
96,3,51887,2025-12-19,9999-12-31,True
97,90,50293,2025-10-13,9999-12-31,True
98,1,31262,2025-04-23,9999-12-31,True
99,95,35867,2025-12-17,9999-12-31,True
100,34,44452,2025-06-16,9999-12-31,True
101,37,34596,2025-01-29,9999-12-31,True
102,60,51226,2025-04-28,9999-12-31,True
103,4,52911,2025-01-17,9999-12-31,True
104,20,40584,2025-06-11,9999-12-31,True
105,55,52499,2025-07-25,9999-12-31,True
106,80,40001,2025-05-18,9999-12-31,True
107,51,40793,2025-02-03,9999-12-31,True
108,49,63486,2025-04-19,9999-12-31,True
109,95,60440,2025-10-18,9999-12-31,True
110,29,39533,2025-06-11,9999-12-31,True
111,2,61444,2025-04-19,9999-12-31,True
112,51,79343,2025-12-02,9999-12-31,True
113,4,57267,2025-09-13,9999-12-31,True
114,74,45848,2025-07-22,9999-12-31,True
115,82,32901,2025-11-26,9999-12-31,True
116,100,36152,2025-08-23,9999-12-31,True
117,50,20577,2025-03-15,9999-12-31,True
118,61,53413,2025-05-16,9999-12-31,True
119,100,52425,2025-03-13,9999-12-31,True
120,86,51874,2025-05-07,9999-12-31,True
121,92,27865,2025-10-15,9999-12-31,True
122,82,46655,2025-10-03,9999-12-31,True
123,74,79006,2025-05-15,9999-12-31,True
124,44,58608,2025-10-27,9999-12-31,True
125,74,38316,2025-08-08,9999-12-31,True
126,40,32787,2025-10-26,9999-12-31,True
127,54,50279,2025-07-24,9999-12-31,True
128,92,47685,2025-07-05,9999-12-31,True
129,11,34401,2025-04-23,9999-12-31,True
130,26,72695,2025-03-12,9999-12-31,True
131,31,77840,2025-09-18,9999-12-31,True
132,52,58060,2025-09-10,9999-12-31,True
133,59,52659,2025-02-16,9999-12-31,True
134,39,73793,2025-01-25,9999-12-31,True
135,65,23078,2025-02-26,9999-12-31,True
136,39,52266,2025-03-20,9999-12-31,True
137,93,52535,2025-11-18,9999-12-31,True
138,49,21024,2025-03-23,9999-12-31,True
139,15,65252,2025-12-15,9999-12-31,True
140,64,31179,2025-08-05,9999-12-31,True
141,85,75080,2025-11-02,9999-12-31,True
142,21,35497,2025-02-02,9999-12-31,True
143,29,46038,2025-07-17,9999-12-31,True
144,47,48662,2025-07-15,9999-12-31,True
145,26,25050,2025-11-02,9999-12-31,True
146,16,30939,2025-08-28,9999-12-31,True
147,58,46982,2025-09-28,9999-12-31,True
148,2,36386,2025-05-09,9999-12-31,True
149,61,37852,2025-10-11,9999-12-31,True
150,54,58952,2025-01-06,9999-12-31,True
151,31,20741,2025-12-15,9999-12-31,True
152,44,72812,2025-02-28,9999-12-31,True
153,53,41990,2025-12-16,9999-12-31,True
154,100,40760,2025-10-02,9999-12-31,True
155,36,67503,2025-05-17,9999-12-31,True
156,67,47295,2025-11-25,9999-12-31,True
157,47,68544,2025-06-24,9999-12-31,True
158,83,53478,2025-02-27,9999-12-31,True
159,22,49316,2025-05-31,9999-12-31,True
160,49,61404,2025-08-11,9999-12-31,True
161,94,72309,2025-03-22,9999-12-31,True
162,3,28787,2025-08-21,9999-12-31,True
163,80,33447,2025-01-02,9999-12-31,True
164,64,45310,2025-05-15,9999-12-31,True
165,81,69544,2025-09-14,9999-12-31,True
166,76,58796,2025-04-02,9999-12-31,True
167,35,63164,2025-09-17,9999-12-31,True
168,58,64620,2025-02-24,9999-12-31,True
169,1,46698,2025-11-17,9999-12-31,True
170,71,37743,2025-06-02,9999-12-31,True
171,41,69987,2025-11-24,9999-12-31,True
172,9,25373,2025-09-17,9999-12-31,True
173,25,24513,2025-11-08,9999-12-31,True
174,48,20419,2025-04-12,9999-12-31,True
175,68,24351,2025-03-20,9999-12-31,True
176,41,23337,2025-07-11,9999-12-31,True
177,29,35722,2025-03-24,9999-12-31,True
178,65,33861,2025-10-04,9999-12-31,True
179,29,61724,2025-09-29,9999-12-31,True
180,13,71941,2025-01-01,9999-12-31,True
181,24,48169,2025-11-03,9999-12-31,True
182,13,52701,2025-06-15,9999-12-31,True
183,87,75656,2025-09-08,9999-12-31,True
184,68,62458,2025-01-10,9999-12-31,True
185,48,49137,2025-02-27,9999-12-31,True
186,56,43879,2025-07-05,9999-12-31,True
187,44,49557,2025-06-07,9999-12-31,True
188,60,74642,2025-05-03,9999-12-31,True
189,62,69643,2025-01-30,9999-12-31,True
190,21,39408,2025-05-04,9999-12-31,True
191,88,25420,2025-10-18,9999-12-31,True
192,78,66865,2025-02-10,9999-12-31,True
193,92,54581,2025-02-13,9999-12-31,True
194,94,27307,2025-09-06,9999-12-31,True
195,70,38146,2025-02-05,9999-12-31,True
196,54,62192,2025-09-30,9999-12-31,True
197,66,26063,2025-03-06,9999-12-31,True
198,84,63869,2025-03-07,9999-12-31,True
199,95,32807,2025-12-04,9999-12-31,True
200,19,60384,2025-09-01,9999-12-31,True
201,30,46242,2025-10-09,9999-12-31,True
202,43,21981,2025-03-26,9999-12-31,True
203,5,39742,2025-05-16,9999-12-31,True
204,43,23913,2025-09-28,9999-12-31,True
205,6,52938,2025-11-07,9999-12-31,True
206,59,52997,2025-08-05,9999-12-31,True
207,40,49073,2025-04-19,9999-12-31,True
208,64,37578,2025-10-04,9999-12-31,True
209,53,44780,2025-12-20,9999-12-31,True
210,15,61289,2025-04-13,9999-12-31,True
211,32,21778,2025-06-09,9999-12-31,True
212,4,35205,2025-07-24,9999-12-31,True
213,15,62515,2025-12-10,9999-12-31,True
214,72,36047,2025-11-29,9999-12-31,True
215,26,69030,2025-07-11,9999-12-31,True
216,53,23844,2025-08-13,9999-12-31,True
217,37,75312,2025-09-22,9999-12-31,True
218,80,39601,2025-08-20,9999-12-31,True
219,34,55640,2025-03-03,9999-12-31,True
220,18,61042,2025-05-07,9999-12-31,True
221,98,27763,2025-04-26,9999-12-31,True
222,48,36613,2025-02-02,9999-12-31,True
223,22,70056,2025-06-23,9999-12-31,True
224,25,55636,2025-01-11,9999-12-31,True
225,53,30407,2025-10-29,9999-12-31,True
226,29,48718,2025-10-11,9999-12-31,True
227,69,49697,2025-04-28,9999-12-31,True
228,70,24556,2025-10-29,9999-12-31,True
229,58,30611,2025-04-23,9999-12-31,True
230,36,57275,2025-01-04,9999-12-31,True
231,22,34198,2025-02-06,9999-12-31,True
232,9,69180,2025-12-29,9999-12-31,True
233,7,34608,2025-11-20,9999-12-31,True
234,73,25593,2025-01-31,9999-12-31,True
235,73,22556,2025-04-28,9999-12-31,True
236,52,25302,2025-02-04,9999-12-31,True
237,52,21523,2025-01-17,9999-12-31,True
238,21,28607,2025-06-19,9999-12-31,True
239,18,35123,2025-02-06,9999-12-31,True
240,33,70508,2025-09-21,9999-12-31,True
241,74,38916,2025-05-02,9999-12-31,True
242,72,67531,2025-05-23,9999-12-31,True
243,26,49788,2025-12-09,9999-12-31,True
244,33,78711,2025-09-06,9999-12-31,True
245,93,66486,2025-04-20,9999-12-31,True
246,82,51269,2025-10-04,9999-12-31,True
247,70,43112,2025-03-09,9999-12-31,True
248,37,33199,2025-10-20,9999-12-31,True
249,13,50530,2025-10-23,9999-12-31,True
250,64,70362,2025-08-31,9999-12-31,True
251,10,38443,2025-05-05,9999-12-31,True
252,43,42379,2025-08-31,9999-12-31,True
253,58,68131,2025-07-28,9999-12-31,True
254,93,22969,2025-04-08,9999-12-31,True
255,29,43859,2025-02-18,9999-12-31,True
256,95,70839,2025-02-19,9999-12-31,True
257,54,74220,2025-12-04,9999-12-31,True
258,41,29430,2025-08-09,9999-12-31,True
259,23,50219,2025-07-01,9999-12-31,True
260,41,28648,2025-08-05,9999-12-31,True
261,53,65645,2025-07-30,9999-12-31,True
262,33,53741,2025-08-28,9999-12-31,True
263,52,48935,2025-01-28,9999-12-31,True
264,38,67956,2025-12-11,9999-12-31,True
265,5,70027,2025-12-01,9999-12-31,True
266,43,28221,2025-11-27,9999-12-31,True
267,95,79435,2025-02-20,9999-12-31,True
268,63,77727,2025-02-01,9999-12-31,True
269,42,34194,2025-07-26,9999-12-31,True
270,29,44692,2025-06-23,9999-12-31,True
271,40,71120,2025-02-25,9999-12-31,True
272,94,47986,2025-05-08,9999-12-31,True
273,10,70726,2025-04-09,9999-12-31,True
274,13,75023,2025-04-08,9999-12-31,True
275,38,41990,2025-10-02,9999-12-31,True
276,36,38188,2025-08-18,9999-12-31,True
277,26,51559,2025-03-13,9999-12-31,True
278,22,76577,2025-08-05,9999-12-31,True
279,83,42710,2025-04-04,9999-12-31,True
280,63,22101,2025-05-23,9999-12-31,True
281,19,54502,2025-08-25,9999-12-31,True
282,89,43246,2025-05-08,9999-12-31,True
283,80,67647,2025-02-08,9999-12-31,True
284,44,48676,2025-08-15,9999-12-31,True
285,53,21767,2025-10-09,9999-12-31,True
286,64,75225,2025-02-20,9999-12-31,True
287,60,69968,2025-01-26,9999-12-31,True
288,72,49204,2025-11-30,9999-12-31,True
289,86,77697,2025-10-04,9999-12-31,True
290,28,77032,2025-01-08,9999-12-31,True
291,11,27898,2025-02-17,9999-12-31,True
292,54,25011,2025-05-02,9999-12-31,True
293,77,75202,2025-03-27,9999-12-31,True
294,33,74164,2025-07-28,9999-12-31,True
295,33,20518,2025-09-06,9999-12-31,True
296,7,25339,2025-09-04,9999-12-31,True
297,6,53588,2025-04-20,9999-12-31,True
298,31,43649,2025-07-25,9999-12-31,True
299,17,51256,2025-01-31,9999-12-31,True
300,1,23769,2025-03-26,9999-12-31,True
301,40,45533,2025-07-14,9999-12-31,True
302,2,66132,2025-01-02,9999-12-31,True
303,8,62635,2025-07-19,9999-12-31,True
304,94,72526,2025-05-16,9999-12-31,True
305,74,47191,2025-08-21,9999-12-31,True
306,19,28413,2025-05-27,9999-12-31,True
307,13,57785,2025-08-05,9999-12-31,True
308,57,30498,2025-12-23,9999-12-31,True
309,89,28572,2025-10-12,9999-12-31,True
310,58,35886,2025-12-05,9999-12-31,True
311,61,65725,2025-09-07,9999-12-31,True
312,54,65945,2025-03-21,9999-12-31,True
313,56,34429,2025-04-08,9999-12-31,True
314,18,58222,2025-06-01,9999-12-31,True
315,36,62820,2025-04-22,9999-12-31,True
316,8,47758,2025-01-30,9999-12-31,True
317,26,48092,2025-10-24,9999-12-31,True
318,84,71662,2025-10-05,9999-12-31,True
319,45,30335,2025-02-01,9999-12-31,True
320,23,21074,2025-06-10,9999-12-31,True
321,47,21261,2025-01-30,9999-12-31,True
322,67,43028,2025-01-26,9999-12-31,True
323,22,77176,2025-10-27,9999-12-31,True
324,19,56952,2025-09-02,9999-12-31,True
325,72,51058,2025-09-15,9999-12-31,True
326,1,63129,2025-09-29,9999-12-31,True
327,78,28892,2025-03-22,9999-12-31,True
328,39,72168,2025-01-30,9999-12-31,True
329,83,27695,2025-09-18,9999-12-31,True
330,31,23780,2025-02-11,9999-12-31,True
331,2,57749,2025-04-06,9999-12-31,True
332,52,22876,2025-02-05,9999-12-31,True
333,5,27118,2025-11-01,9999-12-31,True
334,34,24140,2025-02-04,9999-12-31,True
335,58,76914,2025-12-12,9999-12-31,True
336,40,57815,2025-05-01,9999-12-31,True
337,85,64637,2025-07-26,9999-12-31,True
338,42,50859,2025-03-03,9999-12-31,True
339,45,21345,2025-10-19,9999-12-31,True
340,62,77875,2025-05-07,9999-12-31,True
341,18,37648,2025-10-24,9999-12-31,True
342,59,21958,2025-11-01,9999-12-31,True
343,61,45354,2025-01-21,9999-12-31,True
344,2,57519,2025-11-14,9999-12-31,True
345,8,36342,2025-02-11,9999-12-31,True
346,53,51139,2025-08-03,9999-12-31,True
347,37,27944,2025-12-03,9999-12-31,True
348,44,38887,2025-10-26,9999-12-31,True
349,52,70101,2025-10-17,9999-12-31,True
350,16,51562,2025-09-25,9999-12-31,True
351,40,71876,2025-06-11,9999-12-31,True
352,74,28972,2025-05-14,9999-12-31,True
353,72,40402,2025-04-15,9999-12-31,True
354,27,35007,2025-12-09,9999-12-31,True
355,77,73612,2025-06-10,9999-12-31,True
356,54,31600,2025-05-03,9999-12-31,True
357,58,20695,2025-05-16,9999-12-31,True
358,63,57518,2025-07-22,9999-12-31,True
359,80,35772,2025-03-09,9999-12-31,True
360,37,25858,2025-12-10,9999-12-31,True
361,35,24239,2025-11-27,9999-12-31,True
362,57,60836,2025-06-03,9999-12-31,True
363,59,55926,2025-08-23,9999-12-31,True
364,81,75786,2025-06-11,9999-12-31,True
365,50,33238,2025-02-07,9999-12-31,True
366,2,23923,2025-01-05,9999-12-31,True
367,56,77792,2025-08-23,9999-12-31,True
368,85,37174,2025-11-15,9999-12-31,True
369,5,30272,2025-10-16,9999-12-31,True
370,57,35620,2025-02-21,9999-12-31,True
371,88,65978,2025-02-07,9999-12-31,True
372,88,41828,2025-10-03,9999-12-31,True
373,7,53248,2025-04-20,9999-12-31,True
374,94,34274,2025-09-17,9999-12-31,True
375,6,23008,2025-05-16,9999-12-31,True
376,47,69200,2025-03-09,9999-12-31,True
377,98,68334,2025-06-28,9999-12-31,True
378,40,30207,2025-02-05,9999-12-31,True
379,17,49085,2025-05-06,9999-12-31,True
380,7,58587,2025-07-09,9999-12-31,True
381,18,71189,2025-05-26,9999-12-31,True
382,85,68242,2025-03-22,9999-12-31,True
383,84,66680,2025-08-13,9999-12-31,True
384,24,32880,2025-10-06,9999-12-31,True
385,97,44849,2025-12-27,9999-12-31,True
386,48,60846,2025-06-04,9999-12-31,True
387,67,52217,2025-11-10,9999-12-31,True
388,19,46850,2025-12-01,9999-12-31,True
389,69,49370,2025-09-28,9999-12-31,True
390,67,68493,2025-01-05,9999-12-31,True
391,6,51290,2025-12-08,9999-12-31,True
392,63,41290,2025-10-11,9999-12-31,True
393,63,74686,2025-06-03,9999-12-31,True
394,87,44018,2025-12-06,9999-12-31,True
395,39,78874,2025-02-23,9999-12-31,True
396,47,27906,2025-03-10,9999-12-31,True
397,66,65059,2025-05-16,9999-12-31,True
398,19,28326,2025-03-01,9999-12-31,True
399,4,48493,2025-02-24,9999-12-31,True
400,84,59186,2025-10-11,9999-12-31,True
401,63,49096,2025-03-21,9999-12-31,True
402,57,47271,2025-05-20,9999-12-31,True
403,5,72962,2025-05-25,9999-12-31,True
404,66,37560,2025-11-06,9999-12-31,True
405,95,73290,2025-04-18,9999-12-31,True
406,94,75566,2025-06-25,9999-12-31,True
407,55,43896,2025-04-15,9999-12-31,True
408,94,58137,2025-12-18,9999-12-31,True
409,1,56042,2025-11-21,9999-12-31,True
410,35,66035,2025-05-16,9999-12-31,True
411,60,28042,2025-09-16,9999-12-31,True
412,38,55515,2025-09-08,9999-12-31,True
413,74,46130,2025-05-09,9999-12-31,True
414,25,54697,2025-01-27,9999-12-31,True
415,31,59758,2025-02-17,9999-12-31,True
416,6,35321,2025-11-21,9999-12-31,True
417,70,22932,2025-08-05,9999-12-31,True
418,97,37922,2025-05-22,9999-12-31,True
419,52,38439,2025-01-23,9999-12-31,True
420,68,75961,2025-01-02,9999-12-31,True
421,27,29896,2025-06-20,9999-12-31,True
422,66,44064,2025-03-08,9999-12-31,True
423,2,74500,2025-11-23,9999-12-31,True
424,76,49748,2025-05-15,9999-12-31,True
425,40,29254,2025-03-24,9999-12-31,True
426,73,79297,2025-08-15,9999-12-31,True
427,74,24711,2025-10-10,9999-12-31,True
428,86,43926,2025-12-28,9999-12-31,True
429,89,33743,2025-08-07,9999-12-31,True
430,23,30769,2025-10-15,9999-12-31,True
431,55,40422,2025-01-05,9999-12-31,True
432,98,45358,2025-02-27,9999-12-31,True
433,85,44131,2025-02-08,9999-12-31,True
434,66,62097,2025-12-20,9999-12-31,True
435,46,69963,2025-03-18,9999-12-31,True
436,22,62727,2025-10-07,9999-12-31,True
437,73,58053,2025-01-19,9999-12-31,True
438,69,71534,2025-07-09,9999-12-31,True
439,76,76336,2025-10-26,9999-12-31,True
440,14,20750,2025-10-10,9999-12-31,True
441,58,27459,2025-03-17,9999-12-31,True
442,61,29777,2025-08-09,9999-12-31,True
443,3,32818,2025-03-07,9999-12-31,True
444,38,32571,2025-01-22,9999-12-31,True
445,49,63419,2025-06-07,9999-12-31,True
446,83,70145,2025-07-06,9999-12-31,True
447,50,70326,2025-01-21,9999-12-31,True
448,66,73959,2025-07-03,9999-12-31,True
449,71,39804,2025-04-18,9999-12-31,True
450,72,60090,2025-12-16,9999-12-31,True
451,94,41998,2025-05-08,9999-12-31,True
452,52,75279,2025-12-08,9999-12-31,True
453,30,43728,2025-02-22,9999-12-31,True
454,33,52514,2025-07-01,9999-12-31,True
455,84,38808,2025-10-14,9999-12-31,True
456,31,48495,2025-07-28,9999-12-31,True
457,74,68004,2025-11-14,9999-12-31,True
458,73,30373,2025-03-21,9999-12-31,True
459,76,51456,2025-05-02,9999-12-31,True
460,22,64997,2025-03-25,9999-12-31,True
461,24,44572,2025-04-01,9999-12-31,True
462,44,63833,2025-07-31,9999-12-31,True
463,92,33623,2025-01-13,9999-12-31,True
464,61,23104,2025-04-02,9999-12-31,True
465,63,26361,2025-06-20,9999-12-31,True
466,58,32924,2025-07-30,9999-12-31,True
467,47,57089,2025-12-09,9999-12-31,True
468,65,62909,2025-05-08,9999-12-31,True
469,77,30406,2025-05-17,9999-12-31,True
470,24,79389,2025-03-23,9999-12-31,True
471,84,78090,2025-12-26,9999-12-31,True
472,49,53942,2025-02-25,9999-12-31,True
473,56,45933,2025-07-15,9999-12-31,True
474,29,76392,2025-01-20,9999-12-31,True
475,95,49012,2025-08-29,9999-12-31,True
476,60,25920,2025-04-24,9999-12-31,True
477,47,71927,2025-04-13,9999-12-31,True
478,57,20160,2025-08-24,9999-12-31,True
479,21,43585,2025-06-29,9999-12-31,True
480,53,70950,2025-06-06,9999-12-31,True
481,17,68425,2025-04-27,9999-12-31,True
482,31,32527,2025-04-25,9999-12-31,True
483,16,43217,2025-01-13,9999-12-31,True
484,74,21853,2025-12-04,9999-12-31,True
485,98,62104,2025-04-09,9999-12-31,True
486,35,68476,2025-07-24,9999-12-31,True
487,83,31692,2025-06-18,9999-12-31,True
488,33,66301,2025-05-23,9999-12-31,True
489,4,69167,2025-02-05,9999-12-31,True
490,37,24879,2025-05-23,9999-12-31,True
491,13,24487,2025-06-29,9999-12-31,True
492,76,48839,2025-11-25,9999-12-31,True
493,75,31841,2025-09-18,9999-12-31,True
494,3,55762,2025-07-24,9999-12-31,True
495,7,71920,2025-12-14,9999-12-31,True
496,24,77825,2025-10-02,9999-12-31,True
497,89,21430,2025-06-19,9999-12-31,True
498,80,64751,2025-01-15,9999-12-31,True
499,17,76464,2025-03-01,9999-12-31,True
500,66,65818,2025-05-14,9999-12-31,True
501,83,29571,2025-04-02,9999-12-31,True
502,33,66005,2025-10-25,9999-12-31,True
503,87,51081,2025-05-16,9999-12-31,True
504,100,30992,2025-01-20,9999-12-31,True
505,67,26558,2025-02-25,9999-12-31,True
506,92,58930,2025-11-02,9999-12-31,True
507,55,53827,2025-08-11,9999-12-31,True
508,16,26994,2025-06-26,9999-12-31,True
509,21,46816,2025-06-10,9999-12-31,True
510,7,46442,2025-08-12,9999-12-31,True
511,81,64384,2025-11-07,9999-12-31,True
512,44,40859,2025-09-19,9999-12-31,True
513,26,75797,2025-03-01,9999-12-31,True
514,62,29275,2025-07-17,9999-12-31,True
515,13,23975,2025-10-23,9999-12-31,True
516,22,70771,2025-04-08,9999-12-31,True
517,57,50395,2025-05-11,9999-12-31,True
518,97,59080,2025-01-23,9999-12-31,True
519,98,43394,2025-12-29,9999-12-31,True
520,51,40455,2025-08-12,9999-12-31,True
521,92,58703,2025-01-01,9999-12-31,True
522,42,53716,2025-09-24,9999-12-31,True
523,36,61078,2025-10-03,9999-12-31,True
524,55,51365,2025-12-18,9999-12-31,True
525,97,76826,2025-12-10,9999-12-31,True
526,32,58728,2025-04-11,9999-12-31,True
527,68,76898,2025-07-06,9999-12-31,True
528,89,25295,2025-08-09,9999-12-31,True
529,76,54552,2025-02-05,9999-12-31,True
530,30,58025,2025-12-07,9999-12-31,True
531,85,55410,2025-06-19,9999-12-31,True
532,97,38111,2025-11-16,9999-12-31,True
533,15,29077,2025-06-10,9999-12-31,True
534,26,69495,2025-12-06,9999-12-31,True
535,70,39735,2025-03-05,9999-12-31,True
536,50,29980,2025-06-03,9999-12-31,True
537,27,45226,2025-09-17,9999-12-31,True
538,75,73143,2025-06-08,9999-12-31,True
539,99,39971,2025-12-08,9999-12-31,True
540,55,22910,2025-07-29,9999-12-31,True
541,6,79949,2025-06-17,9999-12-31,True
542,38,73414,2025-07-26,9999-12-31,True
543,22,74463,2025-12-23,9999-12-31,True
544,25,70562,2025-06-01,9999-12-31,True
545,85,42182,2025-10-11,9999-12-31,True
546,67,53976,2025-03-07,9999-12-31,True
547,44,22890,2025-04-09,9999-12-31,True
548,36,55529,2025-08-04,9999-12-31,True
549,74,55921,2025-12-07,9999-12-31,True
550,74,59794,2025-07-14,9999-12-31,True
551,13,45868,2025-12-13,9999-12-31,True
552,91,45618,2025-03-31,9999-12-31,True
553,1,35440,2025-11-12,9999-12-31,True
554,13,77292,2025-10-19,9999-12-31,True
555,50,78580,2025-06-04,9999-12-31,True
556,57,65604,2025-07-27,9999-12-31,True
557,35,57534,2025-10-08,9999-12-31,True
558,76,36618,2025-01-01,9999-12-31,True
559,28,71315,2025-06-05,9999-12-31,True
560,35,60085,2025-05-27,9999-12-31,True
561,100,71779,2025-04-18,9999-12-31,True
562,54,33427,2025-08-09,9999-12-31,True
563,53,54899,2025-10-24,9999-12-31,True
564,28,29353,2025-11-07,9999-12-31,True
565,70,35235,2025-12-02,9999-12-31,True
566,74,66796,2025-06-14,9999-12-31,True
567,91,34900,2025-08-27,9999-12-31,True
568,4,68947,2025-08-15,9999-12-31,True
569,71,22964,2025-08-15,9999-12-31,True
570,27,21829,2025-12-12,9999-12-31,True
571,47,49250,2025-04-20,9999-12-31,True
572,82,38720,2025-09-19,9999-12-31,True
573,45,49957,2025-08-31,9999-12-31,True
574,48,77875,2025-03-28,9999-12-31,True
575,89,49059,2025-12-04,9999-12-31,True
576,27,76700,2025-02-13,9999-12-31,True
577,14,52960,2025-05-26,9999-12-31,True
578,51,31162,2025-09-21,9999-12-31,True
579,94,67899,2025-12-06,9999-12-31,True
580,29,24875,2025-11-21,9999-12-31,True
581,47,57373,2025-11-14,9999-12-31,True
582,59,32007,2025-06-21,9999-12-31,True
583,54,41763,2025-02-17,9999-12-31,True
584,62,23613,2025-05-01,9999-12-31,True
585,89,49680,2025-12-11,9999-12-31,True
586,41,79481,2025-06-08,9999-12-31,True
587,85,70474,2025-04-26,9999-12-31,True
588,18,43757,2025-04-12,9999-12-31,True
589,42,56166,2025-03-17,9999-12-31,True
590,79,27038,2025-01-13,9999-12-31,True
591,76,55526,2025-01-24,9999-12-31,True
592,32,43799,2025-05-06,9999-12-31,True
593,41,49092,2025-09-01,9999-12-31,True
594,7,70818,2025-11-09,9999-12-31,True
595,32,79846,2025-02-07,9999-12-31,True
596,14,33767,2025-08-22,9999-12-31,True
597,15,72147,2025-08-01,9999-12-31,True
598,73,43241,2025-11-19,9999-12-31,True
599,27,56828,2025-10-22,9999-12-31,True
600,14,35567,2025-04-10,9999-12-31,True
601,60,54557,2025-12-23,9999-12-31,True
602,71,56402,2025-07-16,9999-12-31,True
603,60,41859,2025-09-11,9999-12-31,True
604,72,30369,2025-07-24,9999-12-31,True
605,64,62638,2025-05-05,9999-12-31,True
606,53,52097,2025-03-17,9999-12-31,True
